x1,x2,y,predicted
34.6237,78.0247,0,0
30.2867,43.895,0,1
35.8474,72.9022,0,0
60.1826,86.3086,1,1
79.0327,75.3444,1,1
45.0833,56.3164,0,1
61.1067,96.5114,1,1
75.0247,46.554,1,1
76.0988,87.4206,1,1
84.4328,43.5334,1,1
95.8616,38.2253,1,1
75.0137,30.6033,0,1
82.3071,76.482,1,1
69.3646,97.7187,1,1
39.5383,76.0368,0,1
53.9711,89.2074,1,1
69.0701,52.7405,0,1
67.9469,46.6786,0,1
70.6615,92.9271,1,1
76.9788,47.576,1,1
67.372,42.8384,0,1
89.6768,65.7994,1,1
50.5345,48.8558,0,1
34.2121,44.2095,0,1
77.9241,68.9724,1,1
62.271,69.9545,1,1
80.1902,44.8216,1,1
93.1144,38.8007,1,1
61.8302,50.2561,0,1
38.7858,64.9957,0,1
61.3793,72.8079,1,1
85.4045,57.052,1,1
52.108,63.1276,0,1
52.0454,69.4329,1,1
40.2369,71.1677,0,1
54.6351,52.2139,0,1
33.9155,98.8694,0,0
64.177,80.9081,1,1
74.7893,41.5734,1,1
34.1836,75.2377,0,0
83.9024,56.308,1,1
51.5477,46.8563,0,1
94.4434,65.5689,1,1
82.3688,40.6183,1,1
51.0478,45.8227,0,1
62.2227,52.061,0,1
77.193,70.4582,1,1
97.7716,86.7278,1,1
62.0731,96.7688,1,1
91.565,88.6963,1,1
79.9448,74.1631,1,1
99.2725,60.999,1,1
90.5467,43.3906,1,1
34.5245,60.3963,0,1
50.2865,49.8045,0,1
49.5867,59.809,0,1
97.6456,68.8616,1,1
32.5772,95.5985,0,0
74.2487,69.8246,1,1
71.7965,78.4536,1,1
75.3956,85.7599,1,1
35.2861,47.0205,0,1
56.2538,39.2615,0,1
30.0588,49.593,0,0
44.6683,66.4501,0,1
66.5609,41.0921,0,1
40.4576,97.5352,1,0
49.0726,51.8832,0,1
80.2796,92.1161,1,1
66.7467,60.9914,1,1
32.7228,43.3072,0,1
64.0393,78.0317,1,1
72.3465,96.2276,1,1
60.4579,73.095,1,1
58.841,75.8584,1,1
99.8279,72.3693,1,1
47.2643,88.4759,1,1
50.4582,75.8099,1,1
60.4556,42.5084,0,1
82.2267,42.7199,0,1
88.9139,69.8038,1,1
94.8345,45.6943,1,1
67.3193,66.5894,1,1
57.2387,59.5143,1,1
80.3668,90.9601,1,1
68.4685,85.5943,0,1
42.0755,78.8448,0,1
75.4777,90.4245,1,1
78.6354,96.6474,1,1
52.348,60.7695,0,1
94.0943,77.1591,1,1
90.4486,87.5088,1,1
55.4822,35.5707,0,1
74.4927,84.8451,1,1
89.8458,45.3583,1,1
83.4892,48.3803,1,1
42.2617,87.1039,1,1
99.315,68.7754,1,1
55.34,64.9319,0,1
74.7759,89.5298,1,1
