iteration,x1,x2
0,-1.86612,-0.680143
1,-1.69206,-0.518823
2,-1.5889,-0.324281
3,-1.52722,-0.092247
4,-1.51119,0.138537
5,-1.5362,0.349232
6,-1.59812,0.543998
7,-1.6845,0.704426
8,-1.73436,0.766359
9,-1.74375,0.78515
10,-1.74859,0.807799
11,-1.74827,0.831379
12,-1.74558,0.845471
13,-1.74455,0.852468
14,-1.74467,0.858621
15,-1.74573,0.863891
16,-1.74678,0.866965
17,-1.74729,0.868733
18,-1.74749,0.870252
19,-1.74747,0.871466
20,-1.7474,0.87217
21,-1.74738,0.87262
22,-1.74742,0.872989
23,-1.74748,0.87325
24,-1.74752,0.8734
