iteration,x1,x2
0,-1.86612,-0.680143
1,-1.8652,-0.664472
2,-1.86428,-0.64896
3,-1.86337,-0.633604
4,-1.86247,-0.618404
5,-1.86157,-0.603357
6,-1.86067,-0.588462
7,-1.85979,-0.573718
8,-1.8589,-0.559123
9,-1.85803,-0.544676
10,-1.85715,-0.530375
11,-1.85629,-0.516218
12,-1.85543,-0.502204
13,-1.85457,-0.488333
14,-1.85373,-0.474601
15,-1.85288,-0.461008
16,-1.85204,-0.447553
17,-1.85121,-0.434233
18,-1.85038,-0.421048
19,-1.84956,-0.407997
20,-1.84875,-0.395077
21,-1.84793,-0.382288
22,-1.84713,-0.369629
23,-1.84633,-0.357097
24,-1.84553,-0.344692
25,-1.84474,-0.332412
26,-1.84396,-0.320257
27,-1.84318,-0.308224
28,-1.8424,-0.296313
29,-1.84164,-0.284523
30,-1.84087,-0.272851
31,-1.84011,-0.261298
32,-1.83936,-0.249861
33,-1.83861,-0.23854
34,-1.83787,-0.227333
35,-1.83713,-0.21624
36,-1.8364,-0.205258
37,-1.83567,-0.194388
38,-1.83494,-0.183627
39,-1.83423,-0.172976
40,-1.83351,-0.162431
41,-1.8328,-0.151994
42,-1.8321,-0.141662
43,-1.8314,-0.131434
44,-1.83071,-0.12131
45,-1.83002,-0.111288
46,-1.82933,-0.101367
47,-1.82865,-0.0915462
48,-1.82798,-0.0818248
49,-1.82731,-0.0722017
50,-1.82664,-0.0626757
51,-1.82598,-0.053246
52,-1.82533,-0.0439116
53,-1.82468,-0.0346715
54,-1.82403,-0.0255247
55,-1.82339,-0.0164703
56,-1.82275,-0.00750734
57,-1.82212,0.00136507
58,-1.82149,0.0101479
59,-1.82087,0.018842
60,-1.82025,0.0274482
61,-1.81963,0.0359676
62,-1.81902,0.0444009
63,-1.81842,0.052749
64,-1.81781,0.0610129
65,-1.81722,0.0691933
66,-1.81662,0.0772911
67,-1.81604,0.0853071
68,-1.81545,0.0932421
69,-1.81487,0.101097
70,-1.8143,0.108873
71,-1.81372,0.11657
72,-1.81316,0.124189
73,-1.8126,0.131732
74,-1.81204,0.139198
75,-1.81148,0.146589
76,-1.81093,0.153905
77,-1.81039,0.161148
78,-1.80984,0.168317
79,-1.80931,0.175414
80,-1.80877,0.18244
81,-1.80824,0.189394
82,-1.80772,0.196279
83,-1.80719,0.203093
84,-1.80668,0.20984
85,-1.80616,0.216518
86,-1.80565,0.223128
87,-1.80515,0.229672
88,-1.80464,0.23615
89,-1.80414,0.242562
90,-1.80365,0.24891
91,-1.80316,0.255194
92,-1.80267,0.261414
93,-1.80219,0.267572
94,-1.80171,0.273667
95,-1.80123,0.279701
96,-1.80076,0.285674
97,-1.80029,0.291587
98,-1.79983,0.29744
99,-1.79937,0.303235
100,-1.79891,0.30897
101,-1.79846,0.314648
102,-1.79801,0.320269
103,-1.79756,0.325833
104,-1.79712,0.331341
105,-1.79668,0.336793
106,-1.79624,0.34219
107,-1.79581,0.347533
108,-1.79538,0.352822
109,-1.79495,0.358058
110,-1.79453,0.363241
111,-1.79411,0.368371
112,-1.79369,0.37345
113,-1.79328,0.378478
114,-1.79287,0.383455
115,-1.79247,0.388382
116,-1.79206,0.393259
117,-1.79166,0.398087
118,-1.79127,0.402867
119,-1.79088,0.407598
120,-1.79049,0.412281
121,-1.7901,0.416918
122,-1.78972,0.421507
123,-1.78934,0.426051
124,-1.78896,0.430548
125,-1.78858,0.435001
126,-1.78821,0.439408
127,-1.78785,0.443771
128,-1.78748,0.44809
129,-1.78712,0.452366
130,-1.78676,0.456598
131,-1.7864,0.460788
132,-1.78605,0.464936
133,-1.7857,0.469042
134,-1.78535,0.473106
135,-1.78501,0.47713
136,-1.78467,0.481113
137,-1.78433,0.485056
138,-1.78399,0.488959
139,-1.78366,0.492823
140,-1.78333,0.496648
141,-1.783,0.500434
142,-1.78268,0.504183
143,-1.78236,0.507893
144,-1.78204,0.511567
145,-1.78172,0.515203
146,-1.78141,0.518803
147,-1.7811,0.522366
148,-1.78079,0.525894
149,-1.78048,0.529386
150,-1.78018,0.532842
151,-1.77988,0.536265
152,-1.77958,0.539652
153,-1.77928,0.543006
154,-1.77899,0.546326
155,-1.7787,0.549612
156,-1.77841,0.552865
157,-1.77813,0.556086
158,-1.77784,0.559274
159,-1.77756,0.56243
160,-1.77728,0.565555
161,-1.77701,0.568648
162,-1.77674,0.571709
163,-1.77646,0.57474
164,-1.7762,0.577741
165,-1.77593,0.580711
166,-1.77566,0.583652
167,-1.7754,0.586563
168,-1.77514,0.589444
169,-1.77489,0.592297
170,-1.77463,0.595121
171,-1.77438,0.597916
172,-1.77413,0.600684
173,-1.77388,0.603423
174,-1.77363,0.606135
175,-1.77339,0.60882
176,-1.77315,0.611478
177,-1.77291,0.614109
178,-1.77267,0.616713
179,-1.77243,0.619292
180,-1.7722,0.621844
181,-1.77197,0.624371
182,-1.77174,0.626873
183,-1.77151,0.629349
184,-1.77129,0.6318
185,-1.77106,0.634227
186,-1.77084,0.636629
187,-1.77062,0.639007
188,-1.7704,0.641362
189,-1.77019,0.643692
190,-1.76997,0.645999
191,-1.76976,0.648284
192,-1.76955,0.650545
193,-1.76935,0.652783
194,-1.76914,0.654999
195,-1.76894,0.657192
196,-1.76873,0.659364
197,-1.76853,0.661514
198,-1.76833,0.663642
199,-1.76814,0.665748
200,-1.76794,0.667834
201,-1.76775,0.669899
202,-1.76756,0.671943
203,-1.76737,0.673966
204,-1.76718,0.675969
205,-1.76699,0.677952
206,-1.76681,0.679915
207,-1.76662,0.681858
208,-1.76644,0.683782
209,-1.76626,0.685686
210,-1.76608,0.687572
211,-1.76591,0.689438
212,-1.76573,0.691286
213,-1.76556,0.693115
214,-1.76539,0.694925
215,-1.76522,0.696718
216,-1.76505,0.698492
217,-1.76488,0.700249
218,-1.76471,0.701988
219,-1.76455,0.70371
220,-1.76439,0.705414
221,-1.76423,0.707101
222,-1.76407,0.708772
223,-1.76391,0.710425
224,-1.76375,0.712062
225,-1.7636,0.713682
226,-1.76344,0.715287
227,-1.76329,0.716875
228,-1.76314,0.718447
229,-1.76299,0.720003
230,-1.76284,0.721544
231,-1.76269,0.723069
232,-1.76255,0.724579
233,-1.7624,0.726074
234,-1.76226,0.727554
235,-1.76212,0.729019
236,-1.76198,0.730469
237,-1.76184,0.731905
238,-1.7617,0.733326
239,-1.76157,0.734733
240,-1.76143,0.736126
241,-1.7613,0.737505
242,-1.76116,0.73887
243,-1.76103,0.740222
244,-1.7609,0.74156
245,-1.76077,0.742884
246,-1.76065,0.744195
247,-1.76052,0.745493
248,-1.76039,0.746778
249,-1.76027,0.74805
250,-1.76015,0.74931
251,-1.76003,0.750556
252,-1.7599,0.751791
253,-1.75978,0.753012
254,-1.75967,0.754222
255,-1.75955,0.755419
256,-1.75943,0.756605
257,-1.75932,0.757778
258,-1.7592,0.75894
259,-1.75909,0.76009
260,-1.75898,0.761229
261,-1.75887,0.762356
262,-1.75876,0.763472
263,-1.75865,0.764577
264,-1.75854,0.76567
265,-1.75843,0.766753
266,-1.75833,0.767824
267,-1.75822,0.768886
268,-1.75812,0.769936
269,-1.75802,0.770976
270,-1.75792,0.772005
271,-1.75781,0.773024
272,-1.75771,0.774033
273,-1.75762,0.775032
274,-1.75752,0.776021
275,-1.75742,0.777
276,-1.75732,0.777969
277,-1.75723,0.778928
278,-1.75714,0.779878
279,-1.75704,0.780818
280,-1.75695,0.781749
281,-1.75686,0.78267
282,-1.75677,0.783582
283,-1.75668,0.784485
284,-1.75659,0.785379
285,-1.7565,0.786264
286,-1.75641,0.78714
287,-1.75633,0.788008
288,-1.75624,0.788866
289,-1.75615,0.789716
290,-1.75607,0.790558
291,-1.75599,0.791391
292,-1.7559,0.792216
293,-1.75582,0.793032
294,-1.75574,0.793841
295,-1.75566,0.794641
296,-1.75558,0.795433
297,-1.7555,0.796218
298,-1.75543,0.796994
299,-1.75535,0.797763
300,-1.75527,0.798523
301,-1.7552,0.799277
302,-1.75512,0.800023
303,-1.75505,0.800761
304,-1.75497,0.801492
305,-1.7549,0.802215
306,-1.75483,0.802932
307,-1.75476,0.803641
308,-1.75469,0.804343
309,-1.75462,0.805038
310,-1.75455,0.805726
311,-1.75448,0.806407
312,-1.75441,0.807081
313,-1.75434,0.807749
314,-1.75428,0.80841
315,-1.75421,0.809064
316,-1.75415,0.809712
317,-1.75408,0.810353
318,-1.75402,0.810988
319,-1.75395,0.811616
320,-1.75389,0.812238
321,-1.75383,0.812854
322,-1.75377,0.813464
323,-1.75371,0.814068
324,-1.75364,0.814665
325,-1.75358,0.815257
326,-1.75353,0.815842
327,-1.75347,0.816422
328,-1.75341,0.816996
329,-1.75335,0.817564
330,-1.75329,0.818127
331,-1.75324,0.818684
332,-1.75318,0.819235
333,-1.75313,0.819781
334,-1.75307,0.820321
335,-1.75302,0.820856
336,-1.75296,0.821386
337,-1.75291,0.82191
338,-1.75286,0.822429
339,-1.7528,0.822943
340,-1.75275,0.823452
341,-1.7527,0.823955
342,-1.75265,0.824454
343,-1.7526,0.824948
344,-1.75255,0.825436
345,-1.7525,0.82592
346,-1.75245,0.826399
347,-1.7524,0.826873
348,-1.75236,0.827342
349,-1.75231,0.827807
350,-1.75226,0.828267
351,-1.75221,0.828722
352,-1.75217,0.829173
353,-1.75212,0.829619
354,-1.75208,0.830061
355,-1.75203,0.830499
356,-1.75199,0.830932
357,-1.75195,0.83136
358,-1.7519,0.831785
359,-1.75186,0.832205
360,-1.75182,0.832621
361,-1.75177,0.833033
362,-1.75173,0.83344
363,-1.75169,0.833844
364,-1.75165,0.834244
365,-1.75161,0.834639
