iteration,x1,x2
0,-1.86612,-0.680143
1,-1.69206,-0.518823
2,-1.65154,-0.382338
3,-1.63376,-0.261527
4,-1.62771,-0.153686
5,-1.62883,-0.0569321
6,-1.63446,0.0302023
7,-1.64279,0.108905
8,-1.65246,0.180154
9,-1.66249,0.244762
10,-1.67217,0.30341
11,-1.6811,0.356677
12,-1.68908,0.405065
13,-1.69608,0.449012
14,-1.70214,0.488915
15,-1.70738,0.52513
16,-1.71191,0.557986
17,-1.71585,0.587783
18,-1.71928,0.614798
19,-1.72229,0.639282
20,-1.72494,0.661468
21,-1.72728,0.681568
22,-1.72935,0.699775
23,-1.7312,0.716265
24,-1.73285,0.731199
25,-1.73432,0.744721
26,-1.73564,0.756965
27,-1.73682,0.76805
28,-1.73787,0.778086
29,-1.73883,0.787171
30,-1.73968,0.795395
31,-1.74045,0.80284
32,-1.74114,0.809578
33,-1.74176,0.815677
34,-1.74232,0.821198
35,-1.74283,0.826194
36,-1.74329,0.830716
37,-1.7437,0.834809
38,-1.74407,0.838513
39,-1.7444,0.841865
40,-1.74471,0.844899
41,-1.74498,0.847644
42,-1.74523,0.850129
43,-1.74545,0.852377
44,-1.74565,0.854412
45,-1.74583,0.856253
46,-1.746,0.857919
47,-1.74615,0.859427
48,-1.74628,0.860792
49,-1.7464,0.862027
50,-1.74651,0.863144
51,-1.74661,0.864155
52,-1.7467,0.86507
53,-1.74678,0.865898
54,-1.74686,0.866647
55,-1.74692,0.867325
56,-1.74698,0.867939
57,-1.74704,0.868494
58,-1.74709,0.868997
59,-1.74713,0.869451
60,-1.74717,0.869863
61,-1.74721,0.870235
62,-1.74724,0.870572
63,-1.74727,0.870876
64,-1.7473,0.871152
65,-1.74732,0.871402
66,-1.74734,0.871628
67,-1.74736,0.871832
68,-1.74738,0.872017
69,-1.7474,0.872184
70,-1.74741,0.872336
71,-1.74743,0.872473
72,-1.74744,0.872597
73,-1.74745,0.872709
74,-1.74746,0.87281
75,-1.74747,0.872902
76,-1.74748,0.872985
77,-1.74748,0.873061
78,-1.74749,0.873129
79,-1.7475,0.87319
80,-1.7475,0.873246
81,-1.74751,0.873296
