Lp.,x1(0),x2(0),x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,H_calls
1,-0.688327,1.93127,-0.000229787,0.000554755,2.85882e-07,103,103,,0.000115147,0.000256501,1.21845e-07,40,40,,0.000115147,0.000256501,1.21845e-07,40,40,0
2,0.587202,-0.82149,0.000226029,-0.000545682,2.76607e-07,92,92,,8.49455e-05,-0.000425528,1.59359e-07,26,26,,8.49455e-05,-0.000425528,1.59359e-07,26,26,0
3,-0.564001,1.42612,-0.000235668,0.000568953,3.00702e-07,97,97,,-0.000206899,0.000326945,1.24863e-07,27,27,,-0.000206899,0.000326945,1.24863e-07,27,27,0
4,-0.854795,-1.79891,0.000237314,-0.000572926,3.04916e-07,93,93,,0.000206522,-0.000519614,2.4799e-07,26,26,,0.000206522,-0.000519614,2.4799e-07,26,26,0
5,-1.42924,1.13573,-1.7476,0.874277,0.298639,61,61,,-1.7476,0.874139,0.298639,21,21,,-1.7476,0.874139,0.298639,21,21,0
6,1.23773,-1.12152,1.7476,-0.874261,0.298639,53,53,,1.74754,-0.873346,0.298639,21,21,,1.74754,-0.873346,0.298639,21,21,0
7,1.45178,1.48817,1.74751,-0.873292,0.298639,90,90,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
8,-0.291374,1.14066,-0.000229579,0.000554253,2.85365e-07,93,93,,-0.000248286,0.000440798,2.08151e-07,26,26,,-0.000248286,0.000440798,2.08151e-07,26,26,0
9,0.36375,1.18598,-0.000234071,0.000565098,2.96641e-07,90,90,,-0.000238438,0.000556038,2.90303e-07,25,25,,-0.000238438,0.000556038,2.90303e-07,25,25,0
10,1.94995,1.68303,1.7475,-0.873269,0.298639,87,87,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
11,1.34694,-1.68212,1.7476,-0.874263,0.298639,74,74,,1.74757,-0.874152,0.298639,24,24,,1.74757,-0.874152,0.298639,24,24,0
12,0.450788,0.129679,0.000227728,-0.000549049,2.80141e-07,59,59,,0.000269504,-0.000430613,2.14641e-07,21,21,,0.000269504,-0.000430613,2.14641e-07,21,21,0
13,-0.33176,-1.28878,0.000240494,-0.000580604,3.13144e-07,91,91,,0.000257751,-0.000441816,2.14194e-07,26,26,,0.000257751,-0.000441816,2.14194e-07,26,26,0
14,-0.3447,0.654446,-0.000238052,0.000574708,3.06817e-07,87,87,,-0.000153306,0.000452839,1.82646e-07,25,25,,-0.000153306,0.000452839,1.82646e-07,25,25,0
15,-0.469353,-1.8977,0.00023594,-0.000569609,3.01396e-07,96,96,,0.000251803,-0.000553713,2.93981e-07,26,26,,0.000251803,-0.000553713,2.93981e-07,26,26,0
16,1.84643,-1.25546,1.7476,-0.87425,0.298639,68,68,,1.7476,-0.874279,0.298639,21,21,,1.7476,-0.874279,0.298639,21,21,0
17,-0.279614,-1.82943,0.000239562,-0.000578352,3.1072e-07,96,96,,0.000257643,-0.000390754,1.84773e-07,27,27,,0.000257643,-0.000390754,1.84773e-07,27,27,0
18,0.678495,-1.71369,0.000228409,-0.000551427,2.82462e-07,101,101,,0.000282542,-0.000219913,1.45887e-07,29,29,,0.000282542,-0.000219913,1.45887e-07,29,29,0
19,-1.32094,1.59117,-1.7476,0.874288,0.298639,72,72,,-1.74758,0.874256,0.298639,23,23,,-1.74758,0.874256,0.298639,23,23,0
20,1.69874,0.820316,1.74751,-0.873294,0.298639,83,83,,1.74752,-0.87339,0.298639,25,25,,1.74752,-0.87339,0.298639,25,25,0
21,1.50708,-0.619365,1.7475,-0.873285,0.298639,65,65,,1.74752,-0.873408,0.298639,21,21,,1.74752,-0.873408,0.298639,21,21,0
22,-1.40415,1.90097,-1.7476,0.874254,0.298639,77,77,,-1.74762,0.874285,0.298639,21,21,,-1.74762,0.874285,0.298639,21,21,0
23,-1.29737,-1.96757,0.000233849,-0.000564572,2.96088e-07,85,85,,-6.35812e-05,-0.000308298,1.22735e-07,27,27,,-6.35812e-05,-0.000308298,1.22735e-07,27,27,0
24,-0.21573,0.569663,-0.000228312,0.000551194,2.82223e-07,85,85,,-0.00022449,0.000505602,2.42922e-07,24,24,,-0.00022449,0.000505602,2.42922e-07,24,24,0
25,0.20222,1.0642,-0.000222918,0.000538172,2.69045e-07,90,90,,-0.000283859,0.000533442,2.9429e-07,25,25,,-0.000283859,0.000533442,2.9429e-07,25,25,0
26,-0.725429,0.921137,-0.000240944,0.00058169,3.14317e-07,94,94,,-0.000238859,0.000544671,2.80674e-07,25,25,,-0.000238859,0.000544671,2.80674e-07,25,25,0
27,-1.32597,-1.01018,-0.000227334,0.000548832,2.7981e-07,112,112,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
28,-0.0242937,0.191569,-0.000238605,0.000576048,3.08248e-07,70,70,,-0.000199444,0.000430454,1.78995e-07,21,21,,-0.000199444,0.000430454,1.78995e-07,21,21,0
29,1.38814,-1.13877,1.7476,-0.87425,0.298639,61,61,,1.74762,-0.874217,0.298639,20,20,,1.74762,-0.874217,0.298639,20,20,0
30,0.967116,1.52118,-0.000227863,0.000550112,2.81116e-07,89,89,,-3.70099e-05,0.000444663,1.84008e-07,25,25,,-3.70099e-05,0.000444663,1.84008e-07,25,25,0
31,-1.8505,-1.73019,-1.7475,0.873258,0.298639,87,87,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
32,0.939878,-1.72063,1.7476,-0.874258,0.298639,55,55,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
33,-0.154121,1.06861,-0.000239701,0.000578689,3.11082e-07,91,91,,-0.000261334,0.00035574,1.70175e-07,26,26,,-0.000261334,0.00035574,1.70175e-07,26,26,0
34,-1.70586,-1.86868,-1.7475,0.87326,0.298639,88,88,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
35,-1.44914,-0.795721,-1.7475,0.87326,0.298639,83,83,,-1.74749,0.87332,0.298639,24,24,,-1.74749,0.87332,0.298639,24,24,0
36,-0.625039,0.614151,-0.00022324,0.000538949,2.69823e-07,90,90,,-0.000208765,0.000430254,1.82462e-07,24,24,,-0.000208765,0.000430254,1.82462e-07,24,24,0
37,1.77608,1.48096,1.7475,-0.873268,0.298639,86,86,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
38,0.0837404,-1.55895,0.000224766,-0.000542633,2.73524e-07,96,96,,0.000278985,-0.000316555,1.67558e-07,27,27,,0.000278985,-0.000316555,1.67558e-07,27,27,0
39,0.967643,1.76579,-0.000227978,0.000550388,2.81398e-07,92,92,,-0.000136815,0.000441906,1.72258e-07,26,26,,-0.000136815,0.000441906,1.72258e-07,26,26,0
40,-0.961067,1.18393,-1.7475,0.873254,0.298639,101,101,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
41,-0.990895,0.940596,-0.000223677,0.000540002,2.70879e-07,110,110,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
42,0.150592,-0.170686,0.000234884,-0.000567055,2.987e-07,72,72,,0.000213428,-0.000469591,2.11395e-07,21,21,,0.000213428,-0.000469591,2.11395e-07,21,21,0
43,-1.19298,-1.23538,0.000218426,-0.000568666,2.94589e-07,52,52,,0.000193667,-3.14518e-05,6.99119e-08,35,35,,0.000193667,-3.14518e-05,6.99119e-08,35,35,0
44,-0.826846,-1.37915,0.000229137,-0.000553187,2.84268e-07,89,89,,0.000102927,-0.000495733,2.15915e-07,25,25,,0.000102927,-0.000495733,2.15915e-07,25,25,0
45,1.78942,1.13498,1.7475,-0.873258,0.298639,84,84,,1.74751,-0.873325,0.298639,22,22,,1.74751,-0.873325,0.298639,22,22,0
46,0.65476,-1.9099,0.000232365,-0.000560978,2.92331e-07,102,102,,0.00010177,8.77282e-05,3.73388e-08,32,32,,0.00010177,8.77282e-05,3.73388e-08,32,32,0
47,-1.66663,1.52373,-1.7476,0.874298,0.298639,72,72,,-1.74757,0.874172,0.298639,23,23,,-1.74757,0.874172,0.298639,23,23,0
48,-0.812404,-1.54761,0.000233441,-0.000563577,2.95046e-07,91,91,,0.000173433,-0.000447634,1.829e-07,26,26,,0.000173433,-0.000447634,1.829e-07,26,26,0
49,0.428668,0.894595,-0.000222713,0.000537679,2.68552e-07,86,86,,-0.000116789,0.00053346,2.49556e-07,24,24,,-0.000116789,0.00053346,2.49556e-07,24,24,0
50,-0.370201,-0.863442,0.000241097,-0.000582061,3.14717e-07,85,85,,0.000133549,-0.000529655,2.4547e-07,24,24,,0.000133549,-0.000529655,2.4547e-07,24,24,0
51,0.216216,1.06982,-0.000222801,0.00053789,2.68764e-07,90,90,,-0.000278079,0.000533572,2.9098e-07,25,25,,-0.000278079,0.000533572,2.9098e-07,25,25,0
52,1.50033,1.63475,1.7475,-0.873263,0.298639,89,89,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
53,0.931326,-0.839653,0.000234491,-0.000566109,2.97704e-07,99,99,,0.000247256,-0.000205499,1.1369e-07,46,46,,0.000247256,-0.000205499,1.1369e-07,46,46,0
54,0.00501725,-1.31215,0.000235288,-0.000568036,2.99734e-07,93,93,,0.000239166,-0.000272396,1.23452e-07,27,27,,0.000239166,-0.000272396,1.23452e-07,27,27,0
55,-1.24698,1.17133,-1.7476,0.874272,0.298639,58,58,,-1.74748,0.873373,0.298639,18,18,,-1.74748,0.873373,0.298639,18,18,0
56,0.445948,0.00133631,0.000223403,-0.000539309,2.70188e-07,71,71,,0.000216722,-0.000183153,8.77884e-08,23,23,,0.000216722,-0.000183153,8.77884e-08,23,23,0
57,-1.26035,1.6899,-1.7476,0.874292,0.298639,73,73,,-1.74759,0.874214,0.298639,23,23,,-1.74759,0.874214,0.298639,23,23,0
58,0.353986,0.784073,-0.000235034,0.000567423,2.99087e-07,84,84,,-0.000117689,0.000481099,2.02537e-07,24,24,,-0.000117689,0.000481099,2.02537e-07,24,24,0
59,-0.182328,0.0018721,-0.000231199,0.000557928,2.89197e-07,59,59,,-0.000267332,0.000350365,1.72025e-07,20,20,,-0.000267332,0.000350365,1.72025e-07,20,20,0
60,-1.29327,1.29227,-1.7476,0.874281,0.298639,65,65,,-1.7476,0.874144,0.298639,21,21,,-1.7476,0.874144,0.298639,21,21,0
61,0.796759,-0.778448,0.000235131,-0.000567656,2.99333e-07,94,94,,0.000188873,-0.000433709,1.77534e-07,25,25,,0.000188873,-0.000433709,1.77534e-07,25,25,0
62,1.0318,-1.68417,1.7476,-0.874258,0.298639,69,69,,1.74752,-0.873424,0.298639,24,24,,1.74752,-0.873424,0.298639,24,24,0
63,-1.16818,1.36595,-1.7476,0.874297,0.298639,64,64,,-1.74753,0.873369,0.298639,20,20,,-1.74753,0.873369,0.298639,20,20,0
64,1.20155,1.4458,-0.000228806,0.000552478,2.83526e-07,76,76,,8.22431e-05,0.000161166,5.27572e-08,28,28,,8.22431e-05,0.000161166,5.27572e-08,28,28,0
65,1.04897,1.93311,-0.000222354,0.00053681,2.67686e-07,93,93,,-0.000109803,0.000434485,1.65183e-07,26,26,,-0.000109803,0.000434485,1.65183e-07,26,26,0
66,-0.277565,-0.872473,0.000238503,-0.000575797,3.0798e-07,86,86,,0.000182818,-0.000564858,2.82643e-07,24,24,,0.000182818,-0.000564858,2.82643e-07,24,24,0
67,1.05071,-0.398689,0.000230782,-0.000557155,2.88361e-07,101,101,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
68,0.572001,-1.7757,0.000230485,-0.000556439,2.8762e-07,100,100,,4.29842e-05,-0.000476819,2.10556e-07,24,24,,4.29842e-05,-0.000476819,2.10556e-07,24,24,0
69,-0.847716,-1.4438,0.000240816,-0.000581383,3.13985e-07,89,89,,0.000106915,-0.000515516,2.33502e-07,25,25,,0.000106915,-0.000515516,2.33502e-07,25,25,0
70,-1.94437,0.320554,-1.7475,0.873281,0.298639,71,71,,-1.74753,0.873406,0.298639,23,23,,-1.74753,0.873406,0.298639,23,23,0
71,0.613291,-1.7453,0.000234776,-0.000566798,2.98429e-07,100,100,,-0.000250236,0.000148611,1.10133e-07,24,24,,-0.000250236,0.000148611,1.10133e-07,24,24,0
