w,d_start,l_start,d_opt,l_opt,mass,deflection,stress,f_opt,f_calls
0,622.1703889,191.1894629,0.0001166980082,-9.832558711e-05,-9.380979168e-18,-870.1512035,-1.890590962e+12,-870.1512035,345
0.01,477.9661001,360.2330946,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.02,653.8833792,916.5393729,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.03,210.6994542,606.620861,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.04,865.4348471,109.955733,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.05,373.5621041,199.1629325,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.06,646.5237181,592.7733588,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.07,676.5571985,596.4212408,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.08,58.86990478,560.9595942,3.406388791e+155,-2.157271663e+156,-inf,-nan,-0,-nan,10002
0.09,563.6218017,242.7773136,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.1,18.92056584,343.9726114,8.992349392e+155,-2.157271663e+156,-inf,-nan,-0,-nan,10002
0.11,9.083344599,923.7075247,1.633032611e+156,-2.157271663e+156,-inf,-nan,-0,-nan,10002
0.12,601.4307299,770.7317432,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.13,887.1981429,933.2858846,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.14,173.0729241,448.09193,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.15,487.7258244,795.2722196,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.16,639.0128047,965.688445,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.17,155.3448276,293.0305349,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.18,882.2054363,366.154737,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.19,899.4322878,747.6882318,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.2,475.8108731,273.132524,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.21,946.641026,122.5013488,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.22,865.6803618,623.2698175,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.23,718.6691362,924.5546041,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.24,184.0743838,282.4273035,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.25,167.1736791,203.136384,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.26,626.1288787,176.4035383,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.27,126.6779759,227.7063737,-1.776353996e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
0.28,946.9251971,14.06348368,-2.136119907e+156,-2.157271663e+156,-inf,-nan,0,-nan,10002
