w,d_start,l_start,d_opt,l_opt,mass,deflection,stress,f_opt,f_calls
0,48.6982443,631.7536825,49.0551406,200.0000177,3.371737991,0.156354217,34.51489535,0.156354217,419
0.01,39.41020181,443.1807247,49.99997692,200.0000207,3.502872938,0.1448666783,32.59498084,0.1784467409,419
0.02,48.06819517,309.3350936,49.99999965,200.0000015,3.502875786,0.1448663732,32.59493327,0.2120265615,305
0.03,11.86864002,998.9487864,48.30097137,200.0000227,3.268861427,0.1663505617,36.15701352,0.2594258876,419
0.04,13.06206402,694.1392901,49.8196596,200.000023,3.477653378,0.14697542,32.95018668,0.2802025383,419
0.05,29.72614362,633.554619,49.88990242,200.0000222,3.487466854,0.1461494247,32.81120512,0.3132152962,419
0.06,34.06412262,798.6092287,49.48427875,200.0000222,3.430988552,0.1510006265,33.62469945,0.347799902,419
0.07,10.46208417,726.6424372,49.76364268,200.0000179,3.469837181,0.147638304,33.06158321,0.3801922254,419
0.08,38.88989878,879.3142534,49.05236552,200.0000199,3.371356557,0.1563896075,34.52075399,0.4135869635,419
0.09,21.2130634,892.6471576,49.07960162,200.0000196,3.375101451,0.15604275,34.46331526,0.4457580331,419
0.1,30.07876265,201.6159572,40.07876216,200.0000001,2.250677821,0.350905669,63.28739176,0.5408828842,191
0.11,37.23320465,987.1907573,48.15909658,200.0000227,3.249686329,0.1683194895,36.47750722,0.5072698419,419
0.12,27.7759719,436.2706629,49.99997759,200.0000188,3.502872999,0.1448666666,32.59497923,0.5478274264,419
0.13,22.63805979,471.282914,49.99997816,200.0000207,3.502873111,0.1448666641,32.59497843,0.5814075022,419
0.14,34.30678842,783.5840664,49.53941554,200.0000225,3.438638625,0.1503295009,33.51255273,0.6106927783,419
0.15,35.49540694,660.100654,49.83824051,200.0000222,3.480247921,0.1467563565,32.91334638,0.6467800912,419
0.16,20.76688743,498.1121746,50.00001933,200.0000231,3.502878921,0.1448661921,32.5948983,0.6825216066,419
0.17,45.16406895,376.7016516,49.99999269,200.0000102,3.502874964,0.1448664729,32.5949483,0.7157279164,419
0.18,30.37236343,940.6541794,48.66664243,200.0000226,3.318543769,0.1614069351,35.34809321,0.7296915652,419
0.19,18.7825219,668.6885489,49.85033558,200.0000209,3.481937323,0.1466139769,32.88939491,0.7803254126,419
0.2,31.73967346,770.1733104,49.59365456,200.0000224,3.446172444,0.1496729362,33.40271804,0.8089728379,419
0.21,15.11215838,316.0759215,41.15919113,200.0000014,2.373659377,0.3154861273,58.43319133,0.7477025097,419
0.22,28.43912694,311.484851,40.75514933,200.0000019,2.327285765,0.3281841787,60.18837729,0.7679865278,533
0.23,42.13591793,346.580514,44.5618207,200.000007,2.782342569,0.2296127083,46.04381831,0.8167405763,419
0.24,49.53995522,266.9796266,37.31575327,200.000005,1.951053453,0.4669590151,78.41216936,0.8231416801,305
0.25,11.96138356,592.374357,49.96036956,200.000021,3.497325555,0.1453266127,32.67256389,0.9833263483,419
0.26,13.42977919,783.8917646,49.60823196,200.0000175,3.448198572,0.1494970769,33.37327966,1.007159466,419
0.27,28.9782557,624.1150221,49.90620999,200.0000174,3.489747047,0.1459584821,32.77905024,1.048781395,419
0.28,11.00812135,832.32631,49.44127682,200.0000209,3.425028051,0.1515266452,33.71251159,1.068107039,419
0.29,44.76989681,706.2981954,49.51107995,200.0000208,3.434706053,0.1506739319,33.57012389,1.103043247,419
0.3,30.7955188,605.3060746,49.92912946,200.0000187,3.492953145,0.1456906662,32.73393047,1.14986941,419
0.31,18.31994245,831.248125,49.41489634,200.0000205,3.421374019,0.1518504775,33.76653331,1.165402775,419
0.32,45.17091248,269.6802277,34.01506486,200.0000043,1.621165479,0.6763358331,103.5252281,0.9786813199,305
0.33,10.39748881,510.8655179,44.28703505,200.0000216,2.748134537,0.2353646851,46.90620813,1.064578736,419
0.34,10.51672036,383.6002142,38.92313143,200.000008,2.122757061,0.3944723292,69.09343689,0.982089138,419
0.35,48.97770334,645.1278763,48.61248559,200.0000186,3.311161979,0.1621273911,35.46636301,1.264289497,419
0.36,47.68867625,281.797234,34.74620529,200.0000022,1.691607098,0.6211808702,97.12654899,1.006534312,305
0.37,38.06018989,522.5560633,42.99473402,200.000019,2.590092688,0.2649638592,51.26421818,1.125261526,419
0.38,19.66410427,603.9221564,45.85359316,200.000018,2.945991688,0.2048114382,42.26102401,1.246459933,419
0.39,33.45682888,384.0811894,37.81352158,200.0000164,2.003452348,0.4428525908,75.35615961,1.051486496,419
0.4,33.54508915,708.3642489,49.75344842,200.0000194,3.468415736,0.1477593464,33.08191015,1.476021902,419
0.41,38.82277734,739.4973668,49.66418719,200.000019,3.455981723,0.1488244816,33.26060478,1.50475895,419
0.42,24.61280065,356.0206604,36.56091491,200.0000051,1.872918384,0.5067332431,83.36983517,1.080531002,419
0.43,18.18061943,512.4184401,36.26099718,200.0000223,1.842316603,0.5237074546,85.45567638,1.090709388,419
0.44,49.41734852,259.0103243,33.29165414,200.0000024,1.55294289,0.7370655312,110.4215857,1.096051569,305
0.45,10.93583176,604.2573465,39.20402001,200.0000201,2.153505471,0.3832880729,67.61893617,1.179885902,419
0.46,33.21581996,385.1154846,36.15347418,200.0000156,1.831406874,0.5299654231,86.22039712,1.128628491,419
0.47,21.77527356,567.7346485,36.75214313,200.000017,1.892561961,0.4962688514,82.07523337,1.152526613,419
0.48,22.73978562,443.4552473,36.05311161,200.0000196,1.821252999,0.5358912904,86.94245124,1.152864911,419
0.49,43.93000832,465.1301195,40.54115596,200.0000164,2.302910301,0.3351684872,61.14652059,1.299361976,419
0.5,31.3527731,858.1542327,49.22097128,200.0000217,3.394572881,0.154257755,34.16721698,1.774415318,419
0.51,45.51289981,580.8289865,39.85534061,200.0000181,2.225654876,0.3588406225,64.35770688,1.310915892,419
0.52,46.99757334,671.4617936,49.37813749,200.0000174,3.416285662,0.1523031472,33.84199998,1.849574055,419
