t,x1_sim,x2_sim,x1_exp,x2_exp
0,0,0,0,0
0.1,0.000549152,0.0122205,0.000549154,0.0122205
0.2,0.00447429,0.0476635,0.0044743,0.0476635
0.3,0.0152267,0.104327,0.0152267,0.104327
0.4,0.0359289,0.180113,0.035929,0.180113
0.5,0.069038,0.272954,0.0690381,0.272954
0.6,0.116143,0.380892,0.116143,0.380892
0.7,0.177888,0.502122,0.177888,0.502122
0.8,0.254008,0.634995,0.254008,0.634995
0.9,0.343443,0.777999,0.343443,0.777999
1,0.444512,0.92972,0.444512,0.929719
1.1,0.555105,1.0888,0.555105,1.0888
1.2,0.672883,1.25388,0.672883,1.25388
1.3,0.795452,1.42358,0.795453,1.42358
1.4,0.920515,1.59648,0.920516,1.59648
1.5,1.04597,1.77106,1.04597,1.77106
1.6,1.16998,1.94577,1.16998,1.94577
1.7,1.29099,2.11899,1.29099,2.11899
1.8,1.40774,2.28906,1.40774,2.28906
1.9,1.51922,2.45434,1.51922,2.45434
2,1.62463,2.61321,1.62463,2.61321
2.1,1.72334,2.76412,1.72334,2.76412
2.2,1.81484,2.90561,1.81484,2.90561
2.3,1.89869,3.03636,1.89869,3.03636
2.4,1.97449,3.15517,1.97449,3.15517
2.5,2.04189,3.26102,2.04189,3.26102
2.6,2.10053,3.35307,2.10053,3.35307
2.7,2.15008,3.43063,2.15008,3.43063
2.8,2.19026,3.49321,2.19026,3.49321
2.9,2.2208,3.5405,2.2208,3.5405
3,2.24151,3.57233,2.24151,3.57233
3.1,2.25228,3.58874,2.25228,3.58874
3.2,2.25309,3.58988,2.25309,3.58988
3.3,2.24402,3.57606,2.24402,3.57606
3.4,2.22527,3.54775,2.22527,3.54775
3.5,2.19715,3.50551,2.19715,3.50551
3.6,2.16006,3.45006,2.16006,3.45006
3.7,2.11454,3.38218,2.11454,3.38218
3.8,2.06118,3.3028,2.06118,3.3028
3.9,2.00069,3.21291,2.00069,3.21291
4,1.93382,3.1136,1.93382,3.1136
4.1,1.86139,3.00601,1.86139,3.00601
4.2,1.78426,2.89137,1.78426,2.89137
4.3,1.7033,2.77092,1.7033,2.77092
4.4,1.61942,2.64597,1.61941,2.64597
4.5,1.53351,2.51783,1.53351,2.51783
4.6,1.44649,2.38783,1.44649,2.38783
4.7,1.35923,2.25729,1.35923,2.25729
4.8,1.2726,2.1275,1.2726,2.1275
4.9,1.18745,1.99976,1.18745,1.99976
5,1.10457,1.87527,1.10457,1.87527
5.1,1.02473,1.75522,1.02473,1.75522
5.2,0.948666,1.64071,0.948666,1.64071
5.3,0.877037,1.53277,0.877037,1.53277
5.4,0.810464,1.43234,0.810464,1.43234
5.5,0.749504,1.34029,0.749504,1.34029
5.6,0.69465,1.25735,0.69465,1.25735
5.7,0.646328,1.18418,0.646327,1.18418
5.8,0.604891,1.12131,0.604891,1.12131
5.9,0.570622,1.06917,0.570621,1.06917
6,0.543723,1.02807,0.543723,1.02807
6.1,0.524324,0.998198,0.524324,0.998198
6.2,0.512476,0.979638,0.512475,0.979638
6.3,0.508153,0.972356,0.508153,0.972356
6.4,0.511258,0.976207,0.511258,0.976207
6.5,0.521618,0.99094,0.521618,0.99094
6.6,0.538993,1.0162,0.538993,1.0162
6.7,0.563076,1.05154,0.563076,1.05154
6.8,0.5935,1.09641,0.5935,1.09641
6.9,0.629843,1.15019,0.629843,1.15019
7,0.67163,1.21217,0.67163,1.21217
7.1,0.718342,1.28159,0.718342,1.28159
7.2,0.769423,1.35762,0.769423,1.35762
7.3,0.824282,1.43937,0.824282,1.43937
7.4,0.882304,1.52594,0.882305,1.52594
7.5,0.942854,1.61636,0.942854,1.61636
7.6,1.00528,1.70967,1.00528,1.70967
7.7,1.06894,1.8049,1.06894,1.8049
7.8,1.13317,1.90107,1.13317,1.90107
7.9,1.19732,1.99719,1.19732,1.99719
8,1.26077,2.09233,1.26077,2.09233
