Lp.,x1,x2,x1*,x2*,y*,f_calls,,x1*,x2*,y*,f_calls
1,-0.919896,0.969068,-0.774739,0.774693,1.23967,225,,-0.774632,0.774723,1.23967,67
2,-0.197772,0.112687,4.01877e-05,3.03438e-05,8.07463e-08,209,,-5.34299e-05,2.09334e-05,1.04856e-07,95
3,-0.856263,-0.0417664,-0.7747,-4.76609e-05,0.619837,177,,-0.774702,6.66349e-05,0.619837,75
4,-0.381882,0.943136,-6.97496e-06,0.774699,0.619837,249,,6.13033e-06,0.774677,0.619837,63
5,0.203262,0.661622,-1.95684e-05,0.774747,0.619837,225,,-3.08642e-05,0.774716,0.619837,75
6,-0.205099,0.437791,5.68324e-05,0.774666,0.619837,217,,-5.51835e-05,0.77474,0.619837,83
7,0.570135,0.49339,0.774667,0.77464,1.23967,249,,0.77481,0.774763,1.23967,73
8,0.901128,-0.7581,0.774721,-0.774662,1.23967,201,,0.774662,-0.774821,1.23967,75
9,0.990298,0.530991,0.774673,0.774741,1.23967,201,,0.774639,0.774853,1.23968,103
10,0.187374,-0.428716,3.04915e-05,-0.774654,0.619837,241,,-2.00443e-05,-0.774653,0.619837,107
11,0.459241,-0.216926,0.774709,-5.05636e-05,0.619837,217,,0.77473,6.0065e-06,0.619837,85
12,0.179248,0.942838,2.87837e-05,0.774713,0.619837,201,,7.67243e-05,0.774613,0.619838,83
13,-0.273752,0.938716,-2.05822e-06,0.774654,0.619837,201,,2.60972e-05,0.774865,0.619838,69
14,-0.880752,-0.890238,-0.774658,-0.774769,1.23967,201,,-0.774718,-0.774706,1.23967,93
15,0.350793,0.21257,1.22088e-05,7.01055e-05,1.61245e-07,265,,-6.1305e-05,-1.46311e-05,1.2649e-07,79
16,0.755635,-0.495962,0.774698,-0.774712,1.23967,169,,0.774778,-0.774666,1.23967,75
17,0.808789,0.50045,0.774726,0.774669,1.23967,201,,0.774718,0.77473,1.23967,99
18,0.471247,0.31876,0.774685,9.84262e-06,0.619837,225,,0.774681,1.73148e-06,0.619837,109
19,-0.671223,-0.432564,-0.77466,-0.774751,1.23967,241,,-0.774746,-0.77477,1.23967,87
20,0.482931,-0.01839,0.77465,4.74948e-05,0.619837,217,,0.774686,7.21428e-05,0.619837,63
21,0.750647,0.759392,0.774709,0.774705,1.23967,145,,0.774829,0.774676,1.23967,59
22,0.275285,0.0580768,-2.73558e-05,-4.82218e-05,9.78738e-08,209,,-2.40638e-05,2.26571e-06,1.86024e-08,77
23,0.658012,-0.552317,0.774731,-0.774661,1.23967,233,,0.774744,-0.774676,1.23967,89
24,-0.914794,-0.348801,-0.774638,-5.11466e-05,0.619837,193,,-0.774749,-2.99582e-05,0.619837,63
25,-0.741489,0.88291,-0.77477,0.774785,1.23967,193,,-0.77466,0.774716,1.23967,59
26,0.761142,0.803609,0.774736,0.774703,1.23967,161,,0.774826,0.774824,1.23968,71
27,0.651147,0.465911,0.774741,0.774661,1.23967,241,,0.774723,0.774777,1.23967,91
28,-0.0223834,-0.865276,-3.96761e-05,-0.774651,0.619837,145,,4.49537e-05,-0.774734,0.619837,81
29,-0.298114,-0.656904,1.10957e-05,-0.774717,0.619837,201,,-3.92684e-05,-0.774685,0.619837,61
30,-0.14255,-0.0414528,-4.95593e-05,-4.65991e-05,1.47354e-07,185,,4.92638e-05,-1.44359e-05,8.39151e-08,63
31,0.153606,0.289735,1.19931e-05,4.79582e-05,7.78174e-08,249,,-1.02238e-05,-5.15269e-05,8.78709e-08,81
32,0.30988,0.915942,3.59859e-05,0.774692,0.619837,201,,0.000132194,0.774703,0.619838,73
33,-0.56425,-0.158749,-0.774719,6.31223e-07,0.619837,217,,-0.774726,8.8908e-05,0.619837,73
34,-0.104186,-0.259042,3.27769e-05,2.02614e-05,4.72813e-08,233,,-2.54392e-05,-0.000103792,3.63637e-07,61
35,-0.34952,-0.675612,1.16896e-05,-0.774675,0.619837,225,,2.93288e-06,-0.774739,0.619837,95
36,0.91952,0.739122,0.774676,0.774747,1.23967,169,,0.774588,0.774658,1.23968,69
37,0.0722493,0.705557,6.18276e-05,0.774775,0.619837,193,,-2.08293e-05,0.774749,0.619837,53
38,0.525245,-0.322356,0.774776,-1.23184e-05,0.619837,201,,0.774715,-6.6445e-05,0.619837,85
39,0.254519,-0.663429,-1.20898e-05,-0.774679,0.619837,233,,-8.94137e-06,-0.774707,0.619837,81
40,-0.982205,-0.204736,-0.774705,-4.80066e-05,0.619837,161,,-0.77477,3.39767e-05,0.619837,79
41,0.794975,-0.445724,0.774663,-0.774787,1.23967,177,,0.774664,-0.774778,1.23967,95
42,-0.311194,-0.55759,5.61843e-05,-0.774778,0.619837,249,,7.56986e-05,-0.774631,0.619838,51
43,0.313202,0.822579,7.71826e-05,0.774766,0.619837,233,,5.27534e-05,0.774699,0.619837,91
44,-0.250554,0.123967,7.08246e-05,6.10528e-05,2.78417e-07,233,,-4.58866e-05,-5.48475e-05,1.62837e-07,99
45,0.00587906,-0.846631,-5.84357e-05,-0.774756,0.619837,193,,-2.37775e-06,-0.77476,0.619837,57
46,0.966752,0.869382,0.774721,0.774695,1.23967,217,,0.774718,0.774784,1.23967,111
47,0.341601,0.479077,3.84134e-05,0.774702,0.619837,241,,0.000139412,0.774789,0.619838,79
48,-0.154732,0.741697,-4.42419e-05,0.774666,0.619837,185,,-1.76887e-05,0.774698,0.619837,71
49,0.486017,-0.828001,0.774767,-0.77472,1.23967,233,,0.774709,-0.774668,1.23967,71
50,0.777451,-0.921695,0.774638,-0.774663,1.23967,185,,0.774624,-0.774828,1.23968,77
51,-0.915974,-0.642995,-0.774724,-0.774713,1.23967,169,,-0.774731,-0.77471,1.23967,65
52,-0.102584,0.428851,7.25345e-05,0.774789,0.619838,257,,0.000106406,0.774711,0.619838,89
53,0.713284,0.301285,0.77469,3.46837e-05,0.619837,209,,0.774731,1.89476e-05,0.619837,113
54,-0.33635,-0.783864,5.6028e-05,-0.774645,0.619837,225,,1.42134e-05,-0.774774,0.619837,85
55,0.260635,0.815568,1.00824e-05,0.774786,0.619837,185,,2.87515e-05,0.774597,0.619838,67
56,-0.464946,-0.684965,-0.77479,-0.774653,1.23967,185,,-0.774772,-0.774691,1.23967,93
57,-0.722301,-0.796186,-0.774645,-0.774779,1.23967,153,,-0.774728,-0.774721,1.23967,37
58,0.556085,-0.741141,0.774678,-0.774734,1.23967,209,,0.774702,-0.774728,1.23967,87
59,-0.347698,0.538012,-4.12607e-05,0.774731,0.619837,257,,4.75741e-05,0.774735,0.619837,85
60,0.469194,0.222588,0.774663,-6.80296e-05,0.619837,225,,0.774627,-1.58898e-05,0.619837,67
61,0.593981,-0.255151,0.774763,4.88988e-06,0.619837,217,,0.774765,-0.000101554,0.619838,79
62,-0.284134,0.356721,-7.17444e-05,1.93208e-06,1.6402e-07,257,,-2.34687e-05,1.22391e-05,2.23081e-08,73
63,0.957536,0.974076,0.774723,0.774701,1.23967,209,,0.7747,0.774731,1.23967,101
64,0.41176,0.486868,0.774728,0.774681,1.23967,241,,0.774718,0.774793,1.23967,111
65,0.327467,-0.689473,-3.27062e-05,-0.774785,0.619837,201,,3.58565e-05,-0.774639,0.619837,101
66,0.941223,-0.533652,0.77466,-0.774745,1.23967,217,,0.774649,-0.774735,1.23967,85
67,-0.796582,-0.7707,-0.774707,-0.774763,1.23967,161,,-0.774776,-0.774688,1.23967,51
68,0.751726,-0.53999,0.774695,-0.774678,1.23967,217,,0.774707,-0.774687,1.23967,89
69,0.507009,-0.0711395,0.774666,-4.57405e-05,0.619837,201,,0.774803,-3.57043e-05,0.619837,53
70,0.826786,-0.158763,0.774755,-1.26173e-05,0.619837,201,,0.774793,-2.37217e-05,0.619837,61
71,-0.460202,0.494607,-0.774733,0.774763,1.23967,193,,-0.774667,0.774869,1.23968,59
