Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,H_calls,Minimum globalne [TAK/NIE]
"0,05",1,"-0,571566","-1,37302","2,32E-04","-5,60E-04","2,92E-07",91,91,TAK,"2,12E-04","-4,45E-04","1,94E-07",26,26,TAK,"-1,07E+00","5,35E-01","8,77E-01",160,160,159,NIE
,2,"-0,9434","-0,981103","2,28E-04","-5,49E-04","2,80E-07",78,78,TAK,"2,61E-05","3,39E-04","1,25E-07",20,20,TAK,"-1,07E+00","5,35E-01","8,77E-01",161,161,160,NIE
,3,"-1,90182","-1,71702","-1,75E+00","8,73E-01","2,99E-01",87,87,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",176,176,175,NIE
,4,"-1,66484","-1,28852","-1,75E+00","8,73E-01","2,99E-01",85,85,NIE,"-1,75E+00","8,73E-01","2,99E-01",23,23,NIE,"-1,75E+00","8,73E-01","2,99E-01",165,165,164,NIE
,5,"1,29452","-0,355094","1,75E+00","-8,73E-01","2,99E-01",73,73,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",134,134,133,NIE
,6,"0,892807","-1,39424","2,39E-04","-5,77E-04","3,09E-07",106,106,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,36E-01","8,77E-01",149,149,148,NIE
,7,"-0,221442","-1,70942","2,26E-04","-5,46E-04","2,77E-07",96,96,TAK,"2,70E-04","-3,74E-04","1,84E-07",27,27,TAK,"-4,61E-05","-3,81E-04","1,67E-07",165,165,164,TAK
,8,"1,45716","0,543893","1,75E+00","-8,73E-01","2,99E-01",82,82,NIE,"1,75E+00","-8,73E-01","2,99E-01",24,24,NIE,"1,07E+00","-5,35E-01","8,77E-01",154,154,153,NIE
,9,"-1,69582","-1,26929","-1,75E+00","8,73E-01","2,99E-01",85,85,NIE,"-1,75E+00","8,73E-01","2,99E-01",23,23,NIE,"-1,75E+00","8,73E-01","2,99E-01",166,166,165,NIE
